Size, BlockSize, Time, L1_DCM, L2_DCM
4096, 128, 82.560, 9742061159, 31583978872
4096, 256, 76.166, 9091440295, 22271542549
4096, 512, 76.954, 8769270825, 19193907101
6144, 128, 290.747, 32892701481, 106035006335
6144, 256, 240.459, 30646071512, 75061067127
6144, 512, 249.682, 29649335404, 64436232906
8192, 128, 756.199, 78286544586, 247213045102
8192, 256, 791.279, 73058746694, 167673683132
8192, 512, 676.571, 70278523086, 151886518281
10240, 128, 1334.168, 152345306387, 485603262628
10240, 256, 1120.894, 141940565365, 347015145844
10240, 512, 1124.582, 136996767014, 296603003934
